id,famille,nom,energie,proteines,lipides,dontAGS,glucides,sucre,fibres,sodium,calcium,magnesium,fer,vitamineC,vitamineD,eau,allergene,vegetarien,visuel
137,Biscottes et pains non leves,croetons,564,13.8,38,13.5,38.4,0,4.2,246,20,25,1.3,0,0,5,,,biscotte et pain non leve
138,Biscottes et pains non leves,gressins,426,14.5,9.79,2.1,66.6,1.1,4,591,48,66.3,1.2,7,0,2.73,,,biscotte et pain non leve
139,Biscottes et pains non leves,pain grille suedois au ble complet,397,10.3,7.48,1.04,67.3,8.2,7.51,635,26.8,60.9,1.6,0,0,4.97,,,biscotte et pain non leve
140,Biscottes et pains non leves,pain grille suedois au froment,407,9.35,8.19,3.01,70.4,9.1,5.4,431,42.2,23.4,1,0,0,5.06,,,biscotte et pain non leve
141,Biscottes et pains non leves,"pain grille, tranches, au froment",396,9.55,5.23,1.87,74.6,5.1,4.42,582,27,40.5,1.35,0,0,4.15,,,biscotte et pain non leve
142,Biscottes et pains non leves,"pain grille, tranches, multicereale",409,11,8,2.21,68.5,6.85,7.5,630,30,66,9,0,0,2,,,biscotte et pain non leve
143,Biscottes et pains non leves,pain pita,261,7.6,1.25,0,53.4,0,1.2,530,52.7,18.1,1,0,0,34.9,,,biscotte et pain non leve
144,Biscottes et pains non leves,"tartine craquante, extrudee et grillee",382,9.6,3.9,0.819,74.2,8.47,3.85,599,42.3,29.8,1,0,0,6.4,,,biscotte et pain non leve
145,Biscuits sales aperitifs,"biscuit aperitif e base de pomme de terre, type tuile salee",513,4.42,30.6,15.1,49.3,0,11.5,388,0,0,0,0,0,1.85,,,biscuits aperetifs
146,Biscuits sales aperitifs,"biscuit aperitif souffle, e base de maïs, sans cacahuete",518,8.05,28.1,10.6,58,3.8,< 1,695,55.4,38.5,1.2,3.9,"< 0,5",1.81,,,biscuits aperetifs
147,Biscuits sales aperitifs,"biscuit aperitif souffle, e base de pomme de terre",452,5.6,21,8.79,57.3,0.05,5.8,1440,36.5,44.3,1.37,0,0,5.6,,,biscuits aperetifs
148,Biscuits sales aperitifs,"biscuit aperitif, crackers, allege en matiere grasse",415,10.2,9.64,2,68.8,3.47,6.28,618,72,29,2.9,0,0,4.05,,,biscuits aperetifs
149,Biscuits sales aperitifs,"biscuit aperitif, crackers, garni ou fourre, au fromage",544,12.5,34.4,18.3,44.9,7.21,2.4,752,236,26.5,3.3,0,0,2.92,,,biscuits aperetifs
150,Biscuits sales aperitifs,"biscuit aperitif, crackers, nature",483,8.5,20.7,9.07,64.4,6.6,2.35,582,34,31.9,4,0,0,1.54,,,biscuits aperetifs
151,Biscuits sales aperitifs,chips de crevette,529,2,31.2,11.4,59,7.4,2.1,876,46,15.5,1.4,0,"< 0,2",3.5,,,biscuits aperetifs
152,Biscuits sales aperitifs,chips de maïs ou tortilla chips,496,9.9,25.5,11.1,55.2,2.01,3,970,45.4,50,0.853,0,0,4,,,biscuits aperetifs
153,Biscuits sales aperitifs,"pop-corn ou maïs eclate, e l'air, non sale",364,12.9,4.65,0.625,62,1.16,11.2,6,9,132,2.94,0,0,7.8,,,biscuits aperetifs
154,Biscuits sales aperitifs,"pop-corn ou maïs eclate, e l'huile, sale",437,9.6,16.1,7.27,58.7,1,9.28,623,7.73,79,2.19,"< 0,5",0,4.97,,,biscuits aperetifs
155,Biscuits secs sucres,biscuit moelleux fourre e l'orange et enrobe de sucre glace,354,4.28,1.96,0.704,79.3,53.7,1,5.9,139,10.1,0.7,< 1,"< 0,5",13.2,,,biscuits sucres
156,Biscuits secs sucres,"biscuit sec (genoise) nappage aux fruits, type barquette",374,5.22,6.09,2.01,74.1,48.8,"< 2,2",140,82.5,30,1.37,"< 1,21","< 0,61",11.8,,,biscuits sucres
157,Biscuits secs sucres,biscuit sec e teneur garantie en vitamines,457,9.6,14.2,6.22,72.4,23.3,< 1,62.3,37.5,54,2,3,0.55,1.8,,,biscuits sucres
158,Biscuits secs sucres,biscuit sec e teneur garantie en vitamines et mineraux,476,10.7,19.8,8.64,62,22.1,3.5,176,579,195,6.4,< 1,"< 0,5",1.28,,,biscuits sucres
159,Biscuits secs sucres,"biscuit sec au beurre, sable, galette ou palet",486,7.55,21.5,12.2,64.8,24.5,"< 3,5",313,26.2,16.2,1.97,0,0.1,2.75,,,biscuits sucres
160,Biscuits secs sucres,"biscuit sec aux fruits, hyposode",443,10.8,15.8,6.87,61.4,20.2,6,15,45,40,1.95,0,0.25,5,,,biscuits sucres
161,Biscuits secs sucres,biscuit sec aux oeufs e la cuillere (cuiller) ou boudoir,388,8.16,3.71,0.723,80.3,55,0.44,110,26.8,12.8,2.46,0,"< 0,2",6.94,,,biscuits sucres
162,Biscuits secs sucres,biscuit sec avec nappage chocolat,503,6.56,24.1,12.5,64.1,35.9,1.71,227,94.7,51,4,< 1,"< 0,5",2.36,,,biscuits sucres
163,Biscuits secs sucres,biscuit sec avec tablette de chocolat,493,6.74,22.8,14.7,64.4,34.9,"< 3,4",219,76.2,37.5,5.3,1.1,0,2.34,,,biscuits sucres
164,Biscuits secs sucres,"biscuit sec chocolate, preemballe",490,6.7,24.1,12.6,60,30.8,3.15,247,59.4,40.2,3.21,0,0,4.79,,,biscuits sucres
165,Biscuits secs sucres,"biscuit sec croquant (ex : tuile) sans chocolat, allege en matiere grasse",424,5.6,9.1,2.82,77.5,35.7,4.8,296,199,25.5,< 1,0,"< 0,2",1.5,,,biscuits sucres
166,Biscuits secs sucres,"biscuit sec croquant au chocolat, allege en matiere grasse",432,7.8,12.3,4.88,69.4,23.1,6.25,513,85.3,72.1,2.14,0,"< 0,2",2.35,,,biscuits sucres
167,Biscuits secs sucres,"biscuit sec feuillete, type palmier ou autres",515,6.15,26.9,13.1,60.9,17.8,2.5,371,14.4,12.9,1.92,0,0.92,2.31,,,biscuits sucres
168,Biscuits secs sucres,biscuit sec fourre e la pâte ou puree de fruits,396,4.1,10.8,4.69,69.1,44.2,3.1,140,46,152,1.15,"< 0,5",0.25,12.1,,,biscuits sucres
169,Biscuits secs sucres,"biscuit sec fourre aux fruits, allege en matiere grasse",391,4.7,7.2,2.71,75.3,39.2,3,230,59,15.6,< 1,0,"< 0,2",8.8,,,biscuits sucres
170,Biscuits secs sucres,"biscuit sec ou tuile, aux amandes",449,7.8,14.8,4.17,69.5,30.8,3.2,312,50,36.7,1.15,0.02,0.18,3.9,,,biscuits sucres
